country_code,country_name,year,gdp_per_capita,energy_kwh_per_capita,co2_per_capita,renewable_pct,population,water_stress_pct,ai_expansion_index,sustainability_score
ABW,Aruba,2015,27458.2201537506,,4.28613793486924,6.7,107906,,,48.11
ABW,Aruba,2016,27441.5502144601,,4.46439246921188,7.0,108727,,,47.87
ABW,Aruba,2017,28440.0416881491,,4.29576493309422,6.8,108735,,,48.13
ABW,Aruba,2018,30082.1584226798,,4.27241341315606,8.6,108908,,,48.9
ABW,Aruba,2019,30645.8906024548,,4.66562273930203,8.3,109203,,,47.99
ABW,Aruba,2020,22759.8071750722,,4.50053873852303,9.1,108587,,,48.64
ABW,Aruba,2021,26749.3296093118,,4.71123491179201,8.8,107700,,,48.1
ABW,Aruba,2022,30975.9989121779,,4.99021526418787,8.8,107310,,,47.54
ABW,Aruba,2023,35718.7531191634,,5.00284093555268,,107359,,,51.99
AFE,Africa Eastern and Southern,2015,1498.8752400759,582.510916628738,1.04629121620399,61.6702780479896,607123269,4.79242732745486,0.0379195212406597,81.62
AFE,Africa Eastern and Southern,2016,1334.47050032928,568.568282249569,1.02549175379521,61.8228841937413,623369401,4.86812886110105,0.006365304862812712,81.7
AFE,Africa Eastern and Southern,2017,1528.10422421284,566.130763677269,1.0130084445419,61.4269497576408,640058741,4.88181288522108,0.007538084161189942,81.57
AFE,Africa Eastern and Southern,2018,1552.07372194919,568.138012938741,0.998509432404654,61.5875298317964,657801085,4.9175377607198,0.028968786552083778,81.65
AFE,Africa Eastern and Southern,2019,1507.08559963484,550.050978591135,0.984697077678186,62.6907096127666,675950189,4.9609440676344,0.0,82.11
AFE,Africa Eastern and Southern,2020,1351.59166910879,513.707045549526,0.897581461901748,65.7823798017466,694446100,5.01201100451766,0.0,83.52
AFE,Africa Eastern and Southern,2021,1562.41617477738,513.465286763171,0.899169592257325,,713090928,5.04173888731344,0.0038167876898834406,65.19
AFE,Africa Eastern and Southern,2022,1679.32762166466,502.713912958676,0.858131540848484,,731821393,,0.0,60.28
AFE,Africa Eastern and Southern,2023,1571.44918918981,484.004411939864,0.838104192853686,,750491370,,0.029583836144587566,60.32
AFG,Afghanistan,2015,565.569730408751,,0.24909135686806,17.7,33831764,43.0159066808059,,57.98
AFG,Afghanistan,2016,522.082215583898,,0.219353479990497,20.2,34700612,43.0159066808059,,59.04
AFG,Afghanistan,2017,525.469770891619,,0.2913283907183,19.5,35688935,43.0159066808059,,58.61
AFG,Afghanistan,2018,491.337221382603,,0.321418704642259,18.3,36743039,43.0159066808059,,58.07
AFG,Afghanistan,2019,496.6025042585,,0.319752781855278,18.9,37856121,43.0159066808059,,58.32
